NYC HSV
LAX ATL
CHI EUG
IAH SLE
PHX LAX
PHL SCK
SAT PUB
SDM PIE
DAL LIT
SJC COS
DET OKC
JAX TYS
IND ABI
SFO DEN
CMH FUL
AUS LNK
FTW GRR
MEM PHF
CLT CHI
BAL MSP
ELP LBB
MKE RFD
BOS PHL
SEA JAN
BNA AMA
DEN CID
DCA AGS
LAS WJF
LOU LIT
PDX EMT
OKC EMT
TUS CHS
ATL DET
ABQ BRO
FAT OUN
LGB SJC
SMF PDX
MKC RFD
CLE MSN
GRB SGF
OMA PDX
MIA PVU
OAK ARB
TUL TOP
MSP CHA
COS LBB
RDU BIL
HNL ILE
BIL SNA
ICT STL
STL ARR
SNA CID
TPA LGB
BUR TLH
CVG DSM
BFL EUG
PIT FLL
TOL CRP
RAL PMD
SCK OUN
CRP MKC
EWR PVD
ANC PHX
LEX HNL
ERI ROC
BUF NEW
PUB CVG
MAF ORH
FWA SCK
SBN TOP
LNK AGS
GSO LBB
PIE ILE
OUN SCK
ABE PUB
NEW BUF
NGU BDR
SDL OJC
BHM EUG
MSN OAK
ORL SDM
BTR CKV
W39 DCA
MHT OAK
CHS SHV
LRD CCR
ILE LGB
LBB BUF
INT SMF
RNO PDX
AHN CID
LFT ABE
PIA SNS
GNV RFD
ROC SLC
MGM PIA
MOD CRP
BOI ELP
FNT CRP
LAN SLC
SFF TOA
RIC CMH
SHV TPA
ARB CHS
ABI GSO
EVV TYS
DSM SYR
TIW ANC
GRR OUN
PVU RFD
AGS ABI
MOB BHM
OJC PVU
LIT ONT
AMA VIS
OXR BFL
FLL EVV
TYS WJF
VIS VIS
SLC DAY
PHF DCA
JAN RIC
CKV SCK
ORH DEN
BRO LBB
PVD DEN
FAY OXR
HSV SLE
ONT TUL
ARR BAL
CCR PVU
EMT CLE
CHA ABQ
TOP PHL
TLH PHF
HVN EVV
HFD PHF
CAE LIT
CID JAX
FUL OMA
RFD FNT
DAY OXR
SGF FLL
STS BUR
BDR LBB
SLE BTR
FSD GRR
SYR CLE
PMD ORL
EUG OUN
HWD BNA
TOA TIW
SNS CLT
WJF BTR
XXX XXX

